"","Project","Text","SDG","Target"
"7708","P088966","component includes activities consolidate pmts recent efforts improve financial budget management processes capacity improve service delivery water supply sanitation education improve urban environmental management capacity processes lead process dialogue citys local economic social development vision strategy","SDG 11","SDG 11.6"
"7709","P088966","data analyzed regression analysis effect relating prices properties main features","SDG 16","SDG 16.1"
"7710","P088966","description based field research","SDG 14","SDG 14.a"
"7711","P088966","differentiation key feature municipalities enter private markets access alternative forms credit","SDG 17","SDG 17.17"
"7712","P088966","document agreed approved relevant municipal authority possibly city mayor","No map","No map.NA"
"7713","P088966","expansion taking accurate information local alternative forms supply","SDG 12","SDG 12.3"
"7714","P088966","growing portfolio projects contributing broad understanding issues facing municipalities identification mechanisms assist realize role contributing national objective socially equitable economic growth development","No map","No map.NA"
"7715","P088966","reduced storage flow capacities entire lagoonchannel system transformed lagoons major source disease nuisance surrounding population","SDG 1","SDG 1.3"
"7716","P088966","carried lagoa dos oleiros series lagoon structures controlling flooding regions macrodrainage system","SDG 16","SDG 16.10"
"7717","P088966","countries heavily populated poor communities","SDG 15","SDG 15.c"
"7718","P088966","impasse inefficiency agespisa impeded expansion improvement services","No map","No map.NA"
"7719","P088966","impasse inefficiency agespisa impeded expansion improvement services","No map","No map.NA"
"7720","P088966","implementation model successfully employed project preparation execution accompanying phrd grant","No map","No map.NA"
"7721","P088966","implementation model successfully employed project preparation execution accompanying phrd grant","No map","No map.NA"
"7722","P088966","negative effect safety quality local population view perennial flood damage level contamination lagoons caused uncontrolled discharge domestic wastewater garbage","SDG 4","SDG 4.2"
"7723","P088966","incidence reduced percent alto alegre percent nova brasilia percent olarias","SDG 3","SDG 3.3"
"7724","P088966","includes increasing water level retained lagoons optimal operational level technical studies carried project preparation","SDG 6","SDG 6.4"
"7725","P088966","involves approaching population demographic perspectives fertility mortality migratory movements occurring population segment identified age gender","SDG 3","SDG 3.2"
"7726","P088966","lagoonchannelpumping system designed avoid accumulation excess water volumes flowing lagoons create larger buffer final lagoon receiving water rainy season","SDG 6","SDG 6.5"
